,Time,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,Base_B02765
110,2014-04-05 14:00:00,50.0,196.0,139.0,303.0,16.0,0.0
111,2014-04-05 15:00:00,81.0,309.0,209.0,458.0,21.0,0.0
112,2014-04-05 16:00:00,102.0,361.0,252.0,571.0,27.0,0.0
113,2014-04-05 17:00:00,104.0,409.0,268.0,633.0,31.0,0.0
114,2014-04-05 18:00:00,96.0,458.0,289.0,699.0,33.0,0.0
115,2014-04-05 19:00:00,99.0,414.0,284.0,617.0,26.0,0.0
116,2014-04-05 20:00:00,75.0,405.0,245.0,597.0,26.0,0.0
117,2014-04-05 21:00:00,92.0,440.0,290.0,725.0,25.0,0.0
118,2014-04-05 22:00:00,121.0,522.0,358.0,797.0,32.0,0.0
119,2014-04-05 23:00:00,85.0,488.0,332.0,762.0,33.0,0.0
120,2014-04-06 00:00:00,64.0,446.0,277.0,676.0,22.0,0.0
121,2014-04-06 01:00:00,47.0,279.0,172.0,427.0,15.0,0.0
122,2014-04-06 02:00:00,24.0,138.0,98.0,237.0,4.0,0.0
123,2014-04-06 03:00:00,11.0,96.0,59.0,147.0,2.0,0.0
124,2014-04-06 04:00:00,10.0,67.0,34.0,88.0,2.0,0.0
125,2014-04-06 05:00:00,9.0,51.0,26.0,88.0,3.0,0.0
126,2014-04-06 06:00:00,11.0,53.0,32.0,77.0,1.0,0.0
127,2014-04-06 07:00:00,17.0,60.0,45.0,100.0,4.0,0.0
128,2014-04-06 08:00:00,25.0,91.0,61.0,134.0,2.0,0.0
129,2014-04-06 09:00:00,21.0,124.0,104.0,187.0,5.0,0.0
130,2014-04-06 10:00:00,31.0,143.0,130.0,236.0,7.0,0.0
131,2014-04-06 11:00:00,46.0,138.0,134.0,238.0,7.0,0.0
132,2014-04-06 12:00:00,53.0,160.0,148.0,223.0,10.0,0.0
133,2014-04-06 13:00:00,55.0,176.0,161.0,272.0,13.0,0.0
134,2014-04-06 14:00:00,56.0,190.0,150.0,291.0,11.0,0.0
135,2014-04-06 15:00:00,72.0,225.0,173.0,360.0,17.0,0.0
136,2014-04-06 16:00:00,46.0,238.0,177.0,333.0,12.0,0.0
137,2014-04-06 17:00:00,49.0,237.0,150.0,355.0,8.0,0.0
138,2014-04-06 18:00:00,43.0,216.0,157.0,334.0,17.0,0.0
139,2014-04-06 19:00:00,47.0,191.0,110.0,277.0,16.0,0.0
140,2014-04-06 20:00:00,28.0,160.0,98.0,222.0,8.0,0.0
141,2014-04-06 21:00:00,25.0,176.0,113.0,246.0,11.0,0.0
142,2014-04-06 22:00:00,19.0,104.0,91.0,166.0,10.0,0.0
143,2014-04-06 23:00:00,11.0,69.0,47.0,126.0,3.0,0.0
144,2014-04-07 00:00:00,4.0,27.0,19.0,51.0,1.0,0.0
145,2014-04-07 01:00:00,1.0,19.0,17.0,25.0,1.0,0.0
146,2014-04-07 02:00:00,3.0,17.0,13.0,24.0,0.0,0.0
147,2014-04-07 03:00:00,7.0,44.0,30.0,73.0,0.0,0.0
148,2014-04-07 04:00:00,15.0,66.0,48.0,141.0,1.0,0.0
149,2014-04-07 05:00:00,23.0,118.0,68.0,177.0,2.0,0.0
150,2014-04-07 06:00:00,47.0,238.0,182.0,368.0,7.0,0.0
151,2014-04-07 07:00:00,62.0,303.0,219.0,462.0,11.0,0.0
152,2014-04-07 08:00:00,42.0,241.0,174.0,373.0,6.0,0.0
153,2014-04-07 09:00:00,37.0,157.0,137.0,244.0,10.0,0.0
154,2014-04-07 10:00:00,47.0,135.0,106.0,209.0,12.0,0.0
155,2014-04-07 11:00:00,53.0,122.0,97.0,204.0,9.0,0.0
156,2014-04-07 12:00:00,33.0,122.0,104.0,195.0,9.0,0.0
157,2014-04-07 13:00:00,45.0,158.0,112.0,250.0,13.0,0.0
158,2014-04-07 14:00:00,53.0,255.0,169.0,368.0,16.0,0.0
159,2014-04-07 15:00:00,79.0,292.0,209.0,465.0,16.0,0.0
160,2014-04-07 16:00:00,136.0,462.0,379.0,750.0,29.0,0.0
161,2014-04-07 17:00:00,166.0,559.0,484.0,944.0,38.0,0.0
162,2014-04-07 18:00:00,160.0,579.0,443.0,928.0,27.0,0.0
163,2014-04-07 19:00:00,147.0,568.0,409.0,888.0,23.0,0.0
164,2014-04-07 20:00:00,81.0,328.0,220.0,526.0,21.0,0.0
165,2014-04-07 21:00:00,81.0,285.0,203.0,473.0,17.0,0.0
166,2014-04-07 22:00:00,39.0,180.0,124.0,284.0,19.0,0.0
167,2014-04-07 23:00:00,15.0,61.0,43.0,115.0,4.0,0.0
168,2014-04-08 00:00:00,11.0,43.0,37.0,92.0,4.0,0.0
169,2014-04-08 01:00:00,1.0,17.0,11.0,43.0,0.0,0.0
170,2014-04-08 02:00:00,6.0,16.0,14.0,27.0,0.0,0.0
171,2014-04-08 03:00:00,6.0,30.0,30.0,53.0,0.0,0.0
172,2014-04-08 04:00:00,10.0,43.0,33.0,97.0,1.0,0.0
173,2014-04-08 05:00:00,23.0,116.0,76.0,208.0,4.0,0.0
174,2014-04-08 06:00:00,53.0,239.0,208.0,380.0,9.0,0.0
175,2014-04-08 07:00:00,73.0,330.0,254.0,488.0,14.0,0.0
176,2014-04-08 08:00:00,55.0,327.0,219.0,453.0,15.0,0.0
177,2014-04-08 09:00:00,26.0,171.0,147.0,257.0,10.0,0.0
178,2014-04-08 10:00:00,39.0,142.0,108.0,206.0,12.0,0.0
179,2014-04-08 11:00:00,38.0,153.0,119.0,231.0,7.0,0.0
180,2014-04-08 12:00:00,40.0,145.0,102.0,224.0,7.0,0.0
181,2014-04-08 13:00:00,43.0,173.0,120.0,234.0,14.0,0.0
182,2014-04-08 14:00:00,51.0,209.0,139.0,306.0,11.0,0.0
183,2014-04-08 15:00:00,70.0,306.0,200.0,388.0,32.0,0.0
184,2014-04-08 16:00:00,90.0,364.0,265.0,466.0,21.0,0.0
185,2014-04-08 17:00:00,101.0,426.0,266.0,563.0,30.0,0.0
186,2014-04-08 18:00:00,60.0,329.0,218.0,435.0,20.0,0.0
187,2014-04-08 19:00:00,57.0,297.0,189.0,372.0,14.0,0.0
188,2014-04-08 20:00:00,73.0,351.0,220.0,462.0,21.0,0.0
189,2014-04-08 21:00:00,56.0,295.0,192.0,384.0,17.0,0.0
190,2014-04-08 22:00:00,29.0,172.0,116.0,263.0,7.0,0.0
191,2014-04-08 23:00:00,12.0,87.0,62.0,131.0,6.0,0.0
192,2014-04-09 00:00:00,9.0,44.0,23.0,76.0,2.0,0.0
193,2014-04-09 01:00:00,8.0,25.0,22.0,51.0,0.0,0.0
194,2014-04-09 02:00:00,6.0,24.0,15.0,30.0,1.0,0.0
195,2014-04-09 03:00:00,6.0,37.0,30.0,64.0,2.0,0.0
196,2014-04-09 04:00:00,12.0,55.0,40.0,85.0,2.0,0.0
197,2014-04-09 05:00:00,21.0,100.0,74.0,152.0,6.0,0.0
198,2014-04-09 06:00:00,52.0,231.0,170.0,354.0,14.0,0.0
199,2014-04-09 07:00:00,67.0,307.0,211.0,445.0,20.0,0.0
200,2014-04-09 08:00:00,49.0,260.0,189.0,348.0,12.0,0.0
201,2014-04-09 09:00:00,45.0,159.0,120.0,234.0,7.0,0.0
202,2014-04-09 10:00:00,39.0,142.0,134.0,209.0,9.0,0.0
203,2014-04-09 11:00:00,46.0,139.0,122.0,236.0,9.0,0.0
204,2014-04-09 12:00:00,66.0,171.0,115.0,222.0,16.0,0.0
205,2014-04-09 13:00:00,56.0,182.0,145.0,284.0,16.0,0.0
